section	target	文字	廃止cl	カテゴリ	コメント	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
2.1.1	和文文字			文字利用																x	x			x											
2.1.2	正方形外枠			字枠定義																x	x			x											
2.1.2	外枠内で小書き			字枠定義												x																			
2.1.3	ベタ組			空き量																x	x			x											
2.3.1	正方形の文字 fig18			字枠定義																x	x			x											
2.4.2	正方形外枠			字枠定義																x	x			x											
2.5.1.c	ぶら下げ組・行頭禁足処理			ぶら下げ組み							x	x																							
2.5.3.c	行頭配置			行頭空白		x																													
2.5.3.d	約物の連続 (約物の半角空白追加)			空き量		x	x				x	x																							
2.5.3.d	約物の連続、普通の文字			空き量																x	x			x											
2.5.3.e	行頭禁則			空き量			x				x	x																							
2.5.3.e	行末禁則			空き量		x																													
3.1.1.a	句読点規則			縦横字形							x	x																							
3.1.1.a.1	縦組句読点	"U+3002, U+3001"		縦横字形																															
3.1.1.a.2	横組句読点	"U+3002, U+3001, U+FF0C, U+FF0E"		縦横字形																															
3.1.1.b	括弧	"U+300C, U+300D, U+201C, U+201D"		縦横字形																															
3.1.1.b.1	縦書括弧	"U+300C, U+300D"		縦横字形																															
3.1.1.b.2	横書括弧	"U+300C, U+300D, U+201C, U+201D"		縦横字形																															
3.1.1.b.2.n48	縦組ダブルミュート	"U+301D, U+301F"		縦横字形																															
3.1.1.b.2.n49	横組括弧	"U+201C, U+201D, U+2018, U+2019"		縦横字形																												x			
3.1.1.c	横組ブラケット	"U+FF3B, U+FF3D"		縦横字形																															
3.1.1.c	縦組きっこう	"U+3014, U+3015"		縦横字形																															
3.1.1.c.n50	縦横で異なる字面配置・字形	U+30FC		縦横字形		x	x	x			x	x				x																			
3.1.2	約物の配置、普通の文字			空き量																x	x			x											
3.1.2.a	約物、後ろ二分あき			空き量								x																							
3.1.2.b	約物、後ろ二分あき、行末変則			空き量							x																								
3.1.2.c	約物、前二分あき			空き量		x																													
3.1.2.d	約物、後ろ二分あき			空き量			x																												
3.1.2.e	約物、両側四分あき			空き量						x																									
3.1.2.n52	フォントでの実装			空き量		x	x																												
3.1.2.n53	異なる扱いの括弧	"U+FF08, U+FF09, U+3008, U+3009"		空き量		x	x																												
3.1.3	読点、中点の特殊扱い	"U+3001, U+30FB"		空き量																															
3.1.3.n55	横組での中点の意味による差	U+30FB		空き量																									x	x		x			
3.1.4.a	連続時のベタ組			空き量			x				x	x																							
3.1.4.b	連続時のベタ組			空き量			x				x	x																							
3.1.4.c	連続時のベタ組			空き量		x					x	x																							
3.1.4.d	連続時のベタ組			空き量		x	x																												
3.1.4.e	連続時のベタ組			空き量		x																													
3.1.4.f	連続時のベタ組			空き量			x																												
3.1.4.g	連続時のベタ組			空き量			x			x																									
3.1.4.h	連続時のベタ組			空き量		x				x																									
3.1.5	行頭配置			行頭空白		x																													
3.1.6	区切り約物	"U+FF1F, U+FF01"		空き量					x																										
3.1.6.a	区切り約物との連続	"U+FF1F, U+FF01"		空き量			x		x																										
3.1.6.a.n59	区切り約物の後ろあき			空き量					x										x																
3.1.6.a.n60	区切り約物と句点			？。禁止					x		x																								
3.1.6.a.n62	区切り約物とハイフン類の詳細			空き量				x	x																										
3.1.6.b	行末処理			空き量					x																										
3.1.6	ハイフン類の処理			空き量				x																											
3.1.6	ハイフン類と約物			空き量		x		x		x																									
3.1.7	行頭禁則			禁則			x	x	x	x	x	x		x	x	x																		x	
3.1.7.n63	行頭禁則例外			禁則										x	x	x																			
3.1.7.n64	行頭禁則例外	U+30FB		禁則																															
3.1.7.n65	行頭禁則例外			禁則					x																										
3.1.8	行末禁則			禁則		x																											x		
3.1.9	行末配置あき処理			空き量			x			x	x	x																							
3.1.10.a	分割禁止	"U+2014, U+2015"		分割禁止																															
3.1.10.a.n73	ベタ組	"U+2014, U+2015, U+2026, U+2025"	o	空き量													x	x																	
3.1.10.a.n73.1	記号の連続			空き量			x				x	x																							
3.1.10.a.n73.2	記号の連続	"U+2014, U+2015"		空き量		x																													
3.1.10.a.n73.3	記号の連続	"U+2014, U+2015"		空き量						x																									
3.1.10.b	分割禁止	"U+2026, U+2025"		分割禁止																															
3.1.10.c	分割禁止	アラビア数字 (用語集で定義)		数字分割禁止																															
3.1.10.c.n76	漢数字の分割許容	"U+3001, U+30FB"		漢数字分割可																															
3.1.10.c.n77	アラビア数字での分割禁止	"U+2E, U+2C"		数字分割禁止																															
3.1.10.d	前置省略記号の分割禁止		o	分割禁止													x																		
3.1.10.e	後置省略記号での分割禁止		o	分割禁止														x																	
3.1.10.f	欧文			分割禁止																												x			
3.1.10.f.n81	欧文単位での四分アキ			空き量																										x		x			
3.1.10.k	割注分割禁止		o	分割禁止																													x	x	
3.1.11.a	分離禁止一般	3.1.10の指定		分割禁止																															
3.1.11.b	分離禁止	U+3000		空き量	行調整	x	x	x	x	x	x	x																							
3.1.12.b	約物での追い込み処理	(例示のみ)		空き量																															
3.1.12.c	約物での追い出し処理	(例示のみ)		空き量																															
3.2.2	和欧混植	アラビア数字・欧字 (用語集定義)		字枠定義																											x				
3.2.2.n92	全角モノスペース利用しない	全角欧文		字枠定義																															
3.2.3	縦組みの和欧混植	アラビア数字・欧字 (用語集定義)		縦横字形																															
3.2.4	縦組みの全角欧文文字とのべた組	全角アラビア数字・欧字 (用語集定義)		空き量																x	x			x											
3.2.4	縦組みの全角欧文文字とのあき	全角アラビア数字・欧字 (用語集定義)		空き量		x	x				x	x																							
3.2.4.n98	縦組みの全角欧文文字と中点	全角アラビア数字・欧字 (用語集定義)		空き量						x																									
3.2.5	縦中横配置			縦中横前後		x	x				x	x								x	x			x											
3.2.6	縦組みでねかせた欧文の空白			空き量	縦組英文																										x				
3.2.6	縦組みでねかせた欧文と和文間の空白			空き量	縦組英文	x	x				x	x								x	x			x											
3.3.1	ルビ説明			文字利用																x	x			x											
3.3.2	ルビのつけ方			文字利用																				x											
3.3.3.n116	ルビに小書きのかな			文字利用												x																			
3.3.8	ルビが親文字からはみ出した場合	約物 (用語集定義)		文字利用																x				x											
3.3.8.b	ルビが親文字からはみ出した場合			ルビ掛け											x	x				x	x														
3.3.8.c	ルビが親文字からはみ出した場合、アキ			ルビ掛け		x	x				x	x																							
3.3.8.d	ルビが親文字からはみ出した場合			ルビ掛け									x																						
3.3.8.e	ルビが親文字からはみ出した場合			ルビ掛け						x																									
3.3.8.f	ルビが親文字からはみ出した場合			ルビ掛け		x	x				x	x																							
3.3.8.n127	JIS X 4051の片仮名			文字利用																	x			x											
3.3.9.n130	圏点の代替	"U+300C, U+300D, U+3008, U+3009"		文字利用																															
3.3.9.n131	圏点を付けない文字の慣行			文字利用		x	x				x	x																							
3.3.9.c	圏点の文字	"U+FE45, U+2022"		文字利用																															
3.4.2	割注の開始終了		o	文字利用																													x	x	
3.4.2.n133	割注の開始終了			空き量		x	x																												
3.4.2	割注の中の記号 (～も利用される)			文字利用		x	x				x	x																							
3.5.1	段落先頭行の字下げ	"U+3000, U+300C, U+300D"		行頭空白		x																													
3.5.3	そろえでのあき量処理 (など、での例示)			空き量	そろえ	x	x																												
3.6.1	タブ処理	タブ記号		タブ処理																															
3.7.1	添え字		o	文字利用																						x									
3.7.2	振り分け処理の括弧類			文字利用		x	x																												
3.7.3.b.1	字取りでの空けない部分			空き量	そろえ								x																x			x			
3.7.3.b.1.n151	字取りでの約物の扱い (例示)			空き量	そろえ	x	x																												
3.7.3.b.2	字取りでの空白の前後			空き量	そろえ														x												x				
3.7.4	記号類・演算記号類			文字利用																		x	x												
3.7.4.b	記号類とベタ組			空き量																		x	x			x			x			x			
3.7.4.b	数式と日本語の間			空き量																x	x			x					x			x			
3.7.4.b.n154	記号と日本語の間			空き量																x	x	x	x	x											
3.7.4.c	別行の数式での記号			空き量																		x	x			x			x			x			
3.7.4.d	記号の改行			禁則	分割可																	x	x			x			x			x			
3.7.4.d.n158	数式の中点	U+30FB		空き量		x	x															x	x												
3.8.1.a	行長の調整、欧文			文字利用																									x			x			
3.8.1.b	行長の調整、約物			空き量		x	x				x																								
3.8.2	行長の調整、空け詰め			空き量		x	x					x																			x				
3.8.2.n163	行頭禁足回避のぶら下げ組み			ぶら下げ組み							x	x																							
3.8.3.a	詰め処理の優先順位			空き量	詰め処理																										x				
3.8.3.b	詰め処理の優先順位			空き量	詰め処理		x				x	x																							
3.8.3.c	詰め処理の優先順位			空き量	詰め処理					x																									
3.8.3.d	詰め処理の優先順位			空き量	詰め処理					x																									
3.8.3.e	詰め処理の優先順位			空き量	詰め処理	x	x					x																							
3.8.3.n167	詰め処理で利用しないあき			空き量	詰め処理						x																								
3.8.3.n168	詰め処理の優先順位の別方法			空き量	詰め処理	x	x					x																							
3.8.3.n169	詰め処理の優先順位の別方法			空き量	詰め処理	x	x					x																							
3.8.3.f	詰め処理の優先順位			空き量	詰め処理															x	x			x					x	x		x			
3.8.3-2	JIS X 4051の処理、約物後ろのあき			空き量	詰め処理		x			x	x	x																							
3.8.3-2.a-d	JIS X 4051の処理、詰め処理優先順位			空き量	詰め処理	x	x			x		x								x	x			x					x	x	x	x			
3.8.4	空ける処理の優先順位			空き量																x	x			x					x	x	x	x			
3.9	文字クラスの定義 (この表の記述省略)			文字利用																															
3.9.2.aa.n194	括弧の和欧での差異	"U+28, U+29"		文字利用																															
4.1.1.n200	見出しでの約物のあき			空き量	特殊事例	x	x					x																							
4.2.1	注の記述	"U+28, U+29"		文字利用																															
4.2.2.n227	注の番号	"U+FF0A, U+2A, U+2020, U+2021, U+B6, U+A7, U+2016, U+FF03"		文字利用																															
4.2.2.n228	注番号の括弧表記	"U+FF08, U+FF09"		文字利用																															
"4.2.2, 4.2.3"	合印 (合印中の文字)		o	文字利用																					x										
4.2.3.n231	合印の配置、句点の前			配置							x																								
4.2.3.c	合字中の改行での分割禁止			禁則		x	x																		x										
4.2.3-2.b	合字前後でベタ組の例外			禁則		x																													
4.2.3-2.c	合字中の改行での分割禁止			禁則		x	x																		x										
4.2.7.a	注番号に合字		o	配置																					x										
4.2.7.b	注番号に記号	U+FF0A		配置																															
利用回数						39	39	6	9	14	27	29	2	2	3	6	2	2	2	18	18	6	6	19	4	4	0	0	10	5	7	13	3	3	0
